#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, декабря 8, 2024"
#-------------------------------------------

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"воскресенье, декабря 8, 2024",131,"2,55","0,455","22,51",3,"3,3","4,51",55,0,129
 Завтрак,131,"2,55","0,455","22,51",3,"3,3","4,51",55,0,129
  Овсяная Каша на Воде,131,"2,55","0,455","22,51",3,"3,3","4,51",55,0,129
   150 г
 Обед,,,,,,,,,,
 Ужин,,,,,,,,,,
 Перекус/Другое,,,,,,,,,,

Всего,131,"2,55","0,455","22,51",3,"3,3","4,51",55,0,129
